ID,DATOP,FLTID,DEPSTN,ARRSTN,STD,STA,STATUS,AC,target
train_id_45,February,TU 0724 ,TUN,ORY,2/5/2016 18:30,2016-02-05 20.50.00,ATA,TU 32AIMN,Common
train_id_46,February,TU 0635 ,ORY,DJE,2/6/2016 17:40,2016-02-06 20.25.00,ATA,TU 320IMS,Severe
train_id_47,February,TU 0714 ,JED,TUN,2/7/2016 0:55,2016-02-07 05.30.00,ATA,TU 332IFM,Common
train_id_48,February,TU 0339 ,ALG,TUN,2/8/2016 17:00,2016-02-08 18.10.00,ATA,TU 320IMU,ONTIME
train_id_49,February,TU 0319 ,LIS,MAD,2/8/2016 18:00,2016-02-08 19.25.00,ATA,TU 736IOR,ONTIME
train_id_50,February,TU 0247 ,SXB,TUN,2/8/2016 18:30,2016-02-08 20.45.00,ATA,TU 736IOP,Common
train_id_51,February,TU 0913 ,TUN,MED,2/8/2016 19:40,2016-02-09 00.00.00,ATA,TU 320IMR,ONTIME
train_id_52,February,TU 0338 ,TUN,ALG,2/10/2016 14:30,2016-02-10 15.50.00,ATA,TU 320IMT,ONTIME
train_id_53,February,TU 0722 ,TUN,ORY,2/10/2016 15:10,2016-02-10 17.30.00,ATA,TU 320IMW,ONTIME
train_id_54,February,TU 0719 ,ORY,TUN,2/10/2016 14:55,2016-02-10 17.20.00,ATA,TU 32AIMF,Common
train_id_55,February,TU 0757 ,MXP,TUN,2/10/2016 15:05,2016-02-10 16.55.00,ATA,TU 31BIMQ,Common
train_id_56,February,TU 0720 ,TUN,ORY,2/14/2016 12:20,2016-02-14 14.40.00,ATA,TU 320IMU,Severe
train_id_57,February,TU 0705 ,TUN,CMN,2/14/2016 14:10,2016-02-14 16.55.00,ATA,TU 320IMT,Severe
train_id_58,February,TU 0705 ,TUN,CMN,2/19/2016 14:10,2016-02-19 16.55.00,ATA,TU 736IOR,Severe
train_id_59,February,TU 0339 ,ALG,TUN,2/22/2016 17:00,2016-02-22 18.10.00,ATA,TU 320IMU,ONTIME
train_id_60,February,TU 0718 ,TUN,ORY,2/24/2016 11:35,2016-02-24 13.55.00,ATA,TU 320IMR,Common
train_id_61,February,TU 0216 ,TUN,IST,2/24/2016 16:00,2016-02-24 18.35.00,ATA,TU 31BIMQ,ONTIME
train_id_62,February,TU 0339 ,ALG,TUN,2/24/2016 17:00,2016-02-24 18.10.00,ATA,TU 320IMV,ONTIME
train_id_63,February,TU 6047 ,TUN,JED,2/24/2016 16:50,2016-02-24 21.15.00,ATA,TU 320IMS,Common
train_id_64,February,TU 0700 ,TUN,GVA,2/28/2016 12:40,2016-02-28 14.35.00,ATA,TU 320IMU,Common
train_id_65,February,TU 0635 ,MIR,DJE,2/29/2016 15:15,2016-02-29 15.55.00,ATA,TU 32AIMF,ONTIME
train_id_66,March,TU 0757 ,MXP,TUN,3/1/2016 15:05,2016-03-01 16.55.00,ATA,TU 31BIMO,Common
train_id_67,March,TU 0851 ,LYS,TUN,3/1/2016 15:05,2016-03-01 17.00.00,ATA,TU 31AIMK,Common
train_id_68,March,TU 6021 ,DJE,JED,3/1/2016 22:00,2016-03-02 02.15.00,ATA,TU 320IMW,ONTIME
train_id_69,March,TU 0397 ,OUA,ABJ,3/1/2016 23:40,2016-03-02 01.05.00,ATA,TU 320IMS,ONTIME
train_id_70,March,TU 0716 ,TUN,ORY,3/5/2016 7:35,2016-03-05 09.55.00,ATA,TU 32AIMI,Common
train_id_71,March,TU 0875 ,TUN,DJE,3/5/2016 13:05,2016-03-05 13.55.00,ATA,TU 736IOP,Common
train_id_72,March,TU 0902 ,TUN,MRS,3/5/2016 13:15,2016-03-05 14.55.00,ATA,TU 32AIML,Common
train_id_73,March,TU 0700 ,TUN,GVA,3/24/2016 12:40,2016-03-24 14.35.00,ATA,TU 320IMU,Common
train_id_74,March,TU 0226 ,TUN,BEG,3/29/2016 6:15,2016-03-29 08.25.00,ATA,TU 736IOP,Medium
train_id_75,March,TU 0711 ,TUN,CMN,3/29/2016 7:00,2016-03-29 09.40.00,ATA,TU 320IMW,ONTIME
train_id_76,April,TU 0216 ,TUN,IST,4/26/2016 15:55,2016-04-26 18.30.00,ATA,TU 32AIML,Common
train_id_77,May,TU 5505 ,TUN,MED,5/30/2016 1:15,2016-05-30 05.15.00,ATA,TU 320IMW,Medium
train_id_78,May,TU 0788 ,TUN,BRU,5/31/2016 7:30,2016-05-31 10.05.00,ATA,TU 320IMV,Common
train_id_79,May,TU 0996 ,TUN,NCE,5/31/2016 7:50,2016-05-31 09.20.00,ATA,TU 320IMW,ONTIME
train_id_80,May,TU 0752 ,TUN,FCO,5/31/2016 7:55,2016-05-31 09.20.00,ATA,TU 320IMS,ONTIME
train_id_81,May,TU 0642 ,TUN,VIE,5/31/2016 8:15,2016-05-31 10.30.00,ATA,TU 32AIMI,ONTIME
train_id_82,June,UG 1300 ,TUN,MLA,6/1/2016 9:30,2016-06-01 10.30.00,ATA,TU 736IOK,Severe
train_id_83,June,TU 0791 ,LGW,TUN,6/1/2016 10:00,2016-06-01 12.40.00,ATA,TU 31BIMO,Common
train_id_84,June,TU 0362 ,TUN,BLQ,6/3/2016 13:55,2016-06-03 15.30.00,ATA,TU 31BIMQ,ONTIME
train_id_85,June,TU 0848 ,BEY,TUN,6/3/2016 13:25,2016-06-03 16.55.00,ATA,TU 32AIMD,Common
train_id_86,June,TU 6031 ,TUN,SFA,6/4/2016 14:35,2016-06-04 15.20.00,ATA,TU 320IMT,Medium
train_id_87,June,TU 6024 ,JED,DJE,6/5/2016 1:15,2016-06-05 05.50.00,ATA,TU 320IMW,Medium
train_id_88,June,TU 0998 ,TUN,NCE,6/5/2016 14:15,2016-06-05 15.45.00,ATA,TU 320IMR,Common
train_id_89,June,TU 0606 ,TUN,MAD,6/5/2016 14:30,2016-06-05 16.35.00,ATA,TU 31BIMQ,Common
train_id_90,June,TU 0852 ,TUN,FCO,6/5/2016 14:25,2016-06-05 15.50.00,ATA,TU 32AIMM,Common
train_id_91,June,TU 0999 ,NCE,TUN,6/5/2016 16:35,2016-06-05 18.05.00,ATA,TU 320IMR,Common
train_id_92,June,TU 0713 ,TUN,JED,6/5/2016 18:55,2016-06-05 23.10.00,ATA,TU 320IMW,Common
train_id_93,June,TU 8539 ,OPO,LIS,6/5/2016 15:25,2016-06-05 16.15.00,ATA,TU 736IOR,ONTIME
train_id_94,June,TU 0695 ,MRS,DJE,6/5/2016 15:15,2016-06-05 17.15.00,ATA,TU 736IOK,Common
train_id_95,June,TU 0721 ,ORY,TUN,6/5/2016 14:55,2016-06-05 17.20.00,ATA,TU 332IFM,Medium
train_id_96,June,TU 0635 ,ORY,DJE,6/5/2016 16:05,2016-06-05 18.50.00,ATA,TU 32AIMN,Common
train_id_97,June,TU 0527 ,DUS,TUN,6/6/2016 10:00,2016-06-06 12.40.00,ATA,TU 32AIMM,Common
train_id_98,June,TU 0515 ,BCN,TUN,6/6/2016 10:40,2016-06-06 12.10.00,ATA,TU 320IMU,ONTIME
train_id_99,June,TU 0745 ,FRA,TUN,6/6/2016 10:20,2016-06-06 12.45.00,ATA,TU 736IOL,Common
train_id_100,June,TU 0790 ,TUN,LHR,6/12/2016 12:50,2016-06-12 15.55.00,ATA,TU 31BIMO,ONTIME
train_id_101,June,TU 0756 ,TUN,MXP,6/12/2016 12:30,2016-06-12 14.15.00,ATA,TU 32AIMF,ONTIME
train_id_102,June,UG 1310 ,SFA,CDG,6/12/2016 10:15,2016-06-12 12.45.00,DEP,TU CR9ISA,Common
train_id_103,June,TU 0642 ,TUN,VIE,6/12/2016 13:45,2016-06-12 16.00.00,ATA,TU 32AIMG,Common
train_id_104,June,TU 0996 ,TUN,NCE,6/15/2016 7:50,2016-06-15 09.20.00,ATA,TU 32AIML,ONTIME
train_id_105,June,TU 0752 ,TUN,FCO,6/15/2016 7:55,2016-06-15 09.20.00,ATA,TU 320IMV,ONTIME
train_id_106,June,TU 0750 ,TUN,LYS,6/15/2016 8:00,2016-06-15 09.50.00,ATA,TU 320IMS,ONTIME
train_id_107,June,TU 0856 ,TUN,MXP,6/15/2016 8:00,2016-06-15 09.45.00,ATA,TU 32AIMG,ONTIME
train_id_108,June,TU 0514 ,TUN,BCN,6/15/2016 8:05,2016-06-15 09.50.00,ATA,TU 32AIMN,Common
train_id_109,June,TU 0757 ,MXP,TUN,6/18/2016 15:05,2016-06-18 16.55.00,ATA,TU 320IMR,ONTIME
train_id_110,June,TU 0441 ,ORY,MIR,6/18/2016 14:35,2016-06-18 17.10.00,ATA,TU 736IOK,Common
train_id_111,June,TU 0485 ,TUN,DJE,6/18/2016 20:05,2016-06-18 21.00.00,ATA,TU 736ION,ONTIME
train_id_112,June,TU 9041 ,MIR,TUN,6/18/2016 22:40,2016-06-18 23.20.00,ATA,TU 736IOK,ONTIME
train_id_113,June,TU 0751 ,LYS,TUN,6/19/2016 10:40,2016-06-19 12.35.00,ATA,TU 31BIMO,Common
train_id_114,June,TU 0753 ,FCO,TUN,6/19/2016 10:20,2016-06-19 11.35.00,ATA,TU 32AIMF,Common
train_id_115,June,TU 0756 ,TUN,MXP,6/19/2016 12:30,2016-06-19 14.15.00,ATA,TU 32AIMM,Common
train_id_116,June,TU 0606 ,TUN,MAD,6/19/2016 14:30,2016-06-19 16.35.00,ATA,TU 31BIMO,Common
train_id_117,June,TU 0813 ,TUN,CAI,6/20/2016 14:35,2016-06-20 17.35.00,ATA,TU 31BIMO,ONTIME
train_id_118,June,TU 0716 ,TUN,ORY,6/21/2016 6:50,2016-06-21 09.10.00,ATA,TU 32AIML,Common
train_id_119,June,TU 0603 ,DJE,TUN,6/21/2016 12:35,2016-06-21 13.25.00,ATA,TU 736ION,ONTIME
train_id_120,June,TU 0722 ,TUN,ORY,6/21/2016 13:55,2016-06-21 16.20.00,ATA,TU 332IFN,Common
train_id_121,June,UG 1311 ,CDG,TUN,6/23/2016 17:05,2016-06-23 19.20.00,DEP,TU CR9ISA,Common
train_id_122,June,TU 0564 ,NKC,TUN,6/24/2016 0:30,2016-06-24 04.45.00,ATA,TU 320IMU,Common
train_id_123,June,TU 0209 ,NTE,TUN,6/23/2016 16:30,2016-06-23 18.50.00,ATA,TU 320IMR,Medium
train_id_124,June,TU 0283 ,TLS,TUN,6/23/2016 17:00,2016-06-23 18.55.00,ATA,TU 32AIML,Common
train_id_125,June,TU 0813 ,TUN,CAI,6/27/2016 14:35,2016-06-27 17.35.00,ATA,TU 31BIMQ,Medium
train_id_126,June,TU 0398 ,ABJ,TUN,6/30/2016 22:40,2016-07-01 03.55.00,ATA,TU 320IMW,Severe
train_id_127,July,TU 0603 ,ZRH,TUN,7/2/2016 9:10,2016-07-02 11.20.00,ATA,TU 736IOP,Common
train_id_128,July,TU 0903 ,MRS,TUN,7/3/2016 13:50,2016-07-03 15.25.00,ATA,TU 32AIMF,ONTIME
train_id_129,July,TU 9147 ,DJE,SFA,7/3/2016 15:50,2016-07-03 16.25.00,ATA,TU 736IOK,ONTIME
train_id_130,July,TU 0701 ,GVA,TUN,7/3/2016 16:10,2016-07-03 18.05.00,ATA,TU 32AIML,Medium
train_id_131,July,TU 0606 ,TUN,MAD,7/3/2016 14:30,2016-07-03 16.35.00,ATA,TU 31BIMO,Common
train_id_132,July,TU 0397 ,TUN,ABJ,7/3/2016 16:30,2016-07-03 21.50.00,ATA,TU 320IMS,Severe
train_id_133,July,AT 0606 ,OUD,MRS,7/3/2016 16:40,2016-07-03 18.35.00,ATA,TU 32AIMM,ONTIME
train_id_134,July,TU 0217 ,IST,TUN,7/3/2016 20:10,2016-07-03 22.55.00,ATA,TU 32AIMG,Medium
train_id_135,July,TU 0538 ,DJE,DUS,7/8/2016 6:30,2016-07-08 09.35.00,ATA,TU 736IOP,Severe
train_id_136,July,TU 0499 ,MUC,DJE,7/8/2016 7:40,2016-07-08 10.15.00,ATA,TU 736IOK,Common
train_id_137,July,TU 0750 ,TUN,LYS,7/8/2016 8:00,2016-07-08 09.50.00,ATA,TU 32AIMF,Common
train_id_138,July,TU 5520 ,JED,TUN,7/8/2016 7:15,2016-07-08 12.10.00,ATA,TU 332IFN,Severe
train_id_139,July,TU 0514 ,TUN,BCN,7/8/2016 8:05,2016-07-08 09.50.00,ATA,TU 32AIMD,Common
train_id_140,July,TU 0251 ,NCE,MIR,7/8/2016 8:25,2016-07-08 10.05.00,ATA,TU 736IOL,Common
train_id_141,July,TU 0848 ,BEY,TUN,7/8/2016 11:35,2016-07-08 15.05.00,ATA,TU 320IMW,Medium
train_id_142,July,TU 0931 ,MRS,TUN,7/8/2016 8:50,2016-07-08 10.25.00,ATA,TU 32AIML,Common
train_id_143,July,TU 6551 ,SXF,DJE,7/8/2016 9:10,2016-07-08 12.15.00,ATA,TU 736IOR,ONTIME
train_id_144,July,AT 0624 ,OUD,ORY,7/8/2016 8:20,2016-07-08 11.00.00,ATA,TU 32AIMN,ONTIME
train_id_145,July,TU 0718 ,TUN,ORY,7/8/2016 9:20,2016-07-08 11.40.00,ATA,TU 32AIMG,Common
train_id_146,July,TU 0467 ,HAM,DJE,7/8/2016 9:30,2016-07-08 12.40.00,ATA,TU 31AIMJ,Common
train_id_147,July,TU 9130 ,MIR,TUN,7/8/2016 10:25,2016-07-08 11.00.00,ATA,TU 320IMS,ONTIME
train_id_148,July,TU 0635 ,ORY,DJE,7/8/2016 9:50,2016-07-08 12.35.00,ATA,TU 31AIMK,Common
train_id_149,July,TU 0527 ,DUS,TUN,7/8/2016 10:00,2016-07-08 12.40.00,ATA,TU 320IMV,Common
train_id_150,July,TU 0717 ,ORY,TUN,7/8/2016 10:30,2016-07-08 12.55.00,ATA,TU 320IMT,ONTIME
train_id_151,July,TU 0473 ,VCE,TUN,7/11/2016 11:30,2016-07-11 13.10.00,ATA,TU 31BIMQ,ONTIME
train_id_152,July,TU 6548 ,TUN,HAM,7/15/2016 6:30,2016-07-15 09.25.00,ATA,TU 32AIMF,Common
train_id_153,July,TU 0788 ,TUN,BRU,7/15/2016 7:30,2016-07-15 10.05.00,ATA,TU 320IMU,Common
train_id_154,July,TU 0848 ,BEY,TUN,7/15/2016 11:35,2016-07-15 15.05.00,ATA,TU 320IMR,Severe
train_id_155,July,TU 0647 ,FRA,NBE,7/16/2016 17:45,2016-07-16 20.10.00,ATA,TU 32AIML,Common
train_id_156,July,AT 0678 ,NDR,BRU,7/23/2016 6:30,2016-07-23 09.20.00,ATA,TU 32AIMP,Severe
train_id_157,July,TU 0634 ,DJE,ORY,7/23/2016 6:05,2016-07-23 08.50.00,ATA,TU 31AIMJ,Common
train_id_158,July,TU 0602 ,TUN,ZRH,7/23/2016 6:10,2016-07-23 08.15.00,ATA,TU 736IOM,Common
train_id_159,July,TU 0725 ,ORY,TUN,7/23/2016 6:00,2016-07-23 08.25.00,ATA,TU 32AIMI,Common
train_id_160,July,TU 0930 ,TUN,MRS,7/23/2016 6:25,2016-07-23 08.00.00,ATA,TU 320IMS,ONTIME
train_id_161,July,TU 0874 ,DJE,GVA,7/23/2016 6:15,2016-07-23 08.35.00,ATA,TU 31AIMK,Common
train_id_162,July,TU 0875 ,GVA,DJE,7/23/2016 9:25,2016-07-23 11.40.00,ATA,TU 31AIMK,Common
train_id_163,July,TU 0339 ,ALG,TUN,7/23/2016 9:50,2016-07-23 11.00.00,ATA,TU 320IMU,Severe
train_id_164,July,TU 0716 ,TUN,ORY,7/23/2016 6:50,2016-07-23 09.10.00,ATA,TU 32AIMH,ONTIME
train_id_165,July,AT 0668 ,OUD,AMS,7/23/2016 6:45,2016-07-23 10.00.00,ATA,TU 32AIMN,Common
train_id_166,July,TU 0711 ,TUN,NDR,7/23/2016 7:00,2016-07-23 10.10.00,ATA,TU 320IMR,Common
train_id_167,July,AT 0670 ,NDR,AMS,7/23/2016 6:00,2016-07-23 09.10.00,ATA,TU 32AIMM,Medium
train_id_168,July,TU 0744 ,TUN,FRA,7/23/2016 7:05,2016-07-23 09.40.00,ATA,TU 32AIMG,Common
train_id_169,July,TU 0788 ,TUN,BRU,7/23/2016 7:30,2016-07-23 10.05.00,ATA,TU 320IMT,ONTIME
train_id_170,July,TU 0996 ,TUN,NCE,7/23/2016 7:50,2016-07-23 09.20.00,ATA,TU 320IMV,Common
train_id_171,July,TU 0750 ,TUN,LYS,7/23/2016 8:00,2016-07-23 09.50.00,ATA,TU 320IMW,ONTIME
train_id_172,July,TU 0850 ,TUN,LYS,7/23/2016 13:20,2016-07-23 15.10.00,ATA,TU 320IMW,Medium
train_id_173,July,TU 2604 ,DJE,ORY,7/23/2016 12:00,2016-07-23 14.45.00,ATA,TU 736IOL,ONTIME
train_id_174,July,TU 0789 ,BRU,TUN,7/25/2016 11:00,2016-07-25 13.40.00,ATA,TU 32AIMH,Severe
train_id_175,July,TU 0318 ,TUN,LIS,7/25/2016 14:35,2016-07-25 17.30.00,ATA,TU 736IOK,ONTIME
train_id_176,July,TU 0606 ,TUN,MAD,7/25/2016 14:30,2016-07-25 16.35.00,ATA,TU 31AIMK,ONTIME
train_id_177,July,TU 0718 ,TUN,ORY,7/26/2016 9:20,2016-07-26 11.40.00,ATA,TU 320IMW,Common
train_id_178,July,TU 0635 ,ORY,DJE,7/26/2016 9:50,2016-07-26 12.40.00,ATA,TU 32AIML,Common
train_id_179,July,TU 0282 ,TUN,TLS,7/26/2016 13:20,2016-07-26 15.15.00,ATA,TU 320IMV,Common
train_id_180,July,AT 0695 ,FRA,NDR,7/26/2016 18:30,2016-07-26 21.30.00,ATA,TU 32AIMP,Common
train_id_181,April,TU 0789 ,BRU,TUN,4/22/2016 11:00,2016-04-22 13.35.00,ATA,TU 320IMR,Common
train_id_182,April,TU 6551 ,SXF,DJE,4/22/2016 11:10,2016-04-22 14.10.00,ATA,TU 31AIMK,Common
train_id_183,April,TU 0902 ,TUN,MRS,4/22/2016 11:25,2016-04-22 13.00.00,ATA,TU 320IMT,Common
train_id_184,April,TU 0720 ,TUN,ORY,4/22/2016 12:25,2016-04-22 14.45.00,ATA,TU 320IMU,Common
train_id_185,April,TU 0756 ,TUN,MXP,4/22/2016 12:30,2016-04-22 14.15.00,ATA,TU 32AIMC,Medium
train_id_186,April,TU 0850 ,TUN,LYS,4/22/2016 13:20,2016-04-22 15.10.00,ATA,TU 320IMW,Common
train_id_187,April,TU 0648 ,DJE,FRA,4/22/2016 13:05,2016-04-22 16.05.00,ATA,TU 736IOK,Medium
train_id_188,April,TU 0472 ,TUN,VCE,4/22/2016 13:15,2016-04-22 14.55.00,ATA,TU 32AIML,Medium
train_id_189,April,TU 0903 ,MRS,TUN,4/22/2016 13:50,2016-04-22 15.25.00,ATA,TU 320IMT,Common
train_id_190,April,TU 0246 ,TUN,SXB,4/22/2016 13:35,2016-04-22 15.55.00,ATA,TU 736IOR,Common
train_id_191,April,TU 0374 ,TUN,ALG,4/22/2016 13:45,2016-04-22 15.05.00,ATA,TU 332IFM,Medium
train_id_192,April,TU 0722 ,TUN,ORY,4/22/2016 13:55,2016-04-22 16.20.00,ATA,TU 320IMS,Common
train_id_193,April,TU 0713 ,TUN,JED,4/22/2016 18:55,2016-04-22 23.10.00,ATA,TU 332IFM,Medium
train_id_194,April,TU 0555 ,SXB,DJE,4/22/2016 18:00,2016-04-22 20.40.00,ATA,TU 736IOQ,ONTIME
train_id_195,April,TU 0723 ,ORY,TUN,4/22/2016 17:50,2016-04-22 20.20.00,ATA,TU 320IMS,ONTIME
train_id_196,April,TU 0724 ,TUN,ORY,4/22/2016 18:20,2016-04-22 20.40.00,ATA,TU 32AIMD,ONTIME
train_id_197,April,TU 9011 ,TUN,NBE,4/23/2016 3:40,2016-04-23 04.15.00,ATA,TU 31AIMJ,ONTIME
train_id_198,April,TU 9062 ,TUN,MIR,4/23/2016 4:00,2016-04-23 04.40.00,ATA,TU 32AIMI,ONTIME
train_id_199,April,TU 9006 ,TUN,MIR,4/23/2016 4:30,2016-04-23 05.05.00,ATA,TU 32AIMC,ONTIME
train_id_200,April,TU 0726 ,DJE,MIR,4/23/2016 4:40,2016-04-23 05.20.00,ATA,TU 32AIMF,ONTIME
train_id_201,April,TU 0250 ,MIR,NCE,4/23/2016 5:55,2016-04-23 07.35.00,ATA,TU 32AIMC,Common
train_id_202,April,TU 0700 ,DJE,TUN,4/23/2016 6:30,2016-04-23 07.20.00,ATA,TU 736IOK,ONTIME
train_id_203,April,TU 0540 ,NBE,DUS,4/23/2016 6:50,2016-04-23 09.40.00,ATA,TU 320IMU,ONTIME
train_id_204,April,TU 0552 ,NBE,HAM,4/23/2016 6:40,2016-04-23 09.35.00,ATA,TU 32AIMN,ONTIME
train_id_205,April,TU 0931 ,MRS,TUN,4/23/2016 8:50,2016-04-23 10.25.00,ATA,TU 32AIML,ONTIME
train_id_206,April,TU 0595 ,MUC,NBE,4/23/2016 8:25,2016-04-23 10.40.00,ATA,TU 31AIMJ,Medium
train_id_207,April,TU 0717 ,ORY,TUN,4/23/2016 10:15,2016-04-23 12.40.00,ATA,TU 320IMR,Common
train_id_208,April,TU 0719 ,ORY,TUN,4/23/2016 12:40,2016-04-23 15.05.00,ATA,TU 320IMW,Common
train_id_209,April,TU 0646 ,TUN,FRA,4/23/2016 15:15,2016-04-23 17.50.00,ATA,TU 32AIMN,Common
train_id_210,April,TU 0851 ,LYS,TUN,4/23/2016 16:00,2016-04-23 17.55.00,ATA,TU 32AIMP,Common
train_id_211,April,TU 0375 ,ALG,TUN,4/23/2016 16:05,2016-04-23 17.15.00,ATA,TU 320IMR,Common
train_id_212,April,TU 0216 ,TUN,IST,4/23/2016 15:55,2016-04-23 18.30.00,ATA,TU 320IMW,Medium
train_id_213,April,TU 0999 ,NCE,TUN,4/23/2016 16:35,2016-04-23 18.10.00,ATA,TU 32AIMI,ONTIME
train_id_214,April,TU 0680 ,MIR,MRS,4/23/2016 17:00,2016-04-23 18.45.00,ATA,TU 32AIMC,Common
